Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Informed Consent:
For compliances purposes, we would like to confirm your willingness to participate in this survey. Please read the attached file (Informed consent) for information.

 

Please select if you are willing to participate in this survey below",Are you above 18 years old?,Are you affiliated with IUPUI?,Indicate the best descriptions that you fall into (check all that apply),We want to know how you identify yourself with Jagathon: - I identify as a Jagathon community member,We want to know how you identify yourself with Jagathon: - My personal identity directly overlaps with the Jagathon community,We want to know how you identify yourself with Jagathon: - I am attached to the Jagathon community,We want to know how you identify yourself with Jagathon: - I feel like I belong to the Jagathon community,We want to know how you identify yourself with Jagathon: - I am a valuable member of the Jagathon community,We want to know how you identify yourself with Jagathon: - I am an important member of the Jagathon community,We want to know how you identify yourself with IUPUI: - I identify as an IUPUI community member,We want to know how you identify yourself with IUPUI: - My personal identity directly overlaps with the IUPUI community,We want to know how you identify yourself with IUPUI: - I am attached to the IUPUI community,We want to know how you identify yourself with IUPUI: - I feel like I belong to the IUPUI community,We want to know how you identify yourself with IUPUI: - I am a valuable member of the IUPUI community,We want to know how you identify yourself with IUPUI: - I am an important member of the IUPUI community,How do you feel about Jagathon,Q2.7,Q2.8,How likely would you participate in future Jagathon events?,How likely would you be to donate in future Jagathon events?,What is your age?,How do you identify yourself?,Choose one or more races that you identify with,What is your current status at IUPUI? - Selected Choice,What is your current status at IUPUI? - Other - Text,What is your employment status?,What is your Zip code?
4/3/22 19:17,4/3/22 19:20,IP Address,166.205.124.135,100,214,TRUE,4/3/22 19:20,R_DpfwdxhBWCfvRPb,,,,,39.7684021,-86.15799713,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,"I have heard of Jagathon,I have never gone to Jagathon",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,7,7,7,Moderately likely,Moderately likely,23,Female,Asian,Graduate,,Part-Time Student,46202
4/3/22 19:23,4/3/22 19:26,IP Address,99.44.212.77,100,205,TRUE,4/3/22 19:26,R_3CTSwloZCw1M5d2,,,,,39.78599548,-86.1588974,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,I have never gone to Jagathon,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,4,3.9,3.8,Neither likely nor unlikely,Moderately unlikely,23,Female,White,Graduate,,Full-Time Student,46202
4/3/22 19:44,4/3/22 19:46,IP Address,174.202.67.169,100,100,TRUE,4/3/22 19:46,R_bIB6nlNQ2IwxTUd,,,,,39.89830017,-86.0114975,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,I have never gone to Jagathon,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4,4.2,4.2,Neither likely nor unlikely,Neither likely nor unlikely,27,Male,White,Graduate,,Full-Time Student,46202
4/3/22 21:02,4/3/22 21:05,IP Address,50.90.65.208,100,171,TRUE,4/3/22 21:05,R_BJHs7ATz8j0GYzT,,,,,39.79319763,-86.21320343,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,I have never gone to Jagathon,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Agree,Disagree,Disagree,Agree,Agree,4.2,4,3.9,Slightly unlikely,Extremely unlikely,32,Male,Asian,Graduate,,Full-Time Employed,46222
4/3/22 21:11,4/3/22 21:13,IP Address,75.35.201.12,100,114,TRUE,4/3/22 21:13,R_3MuS2fRgb7mfOcG,,,,,39.84989929,-86.26490021,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,I have heard of Jagathon,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,4.9,5.8,3.9,Extremely unlikely,Slightly unlikely,19,Female,Black or African American,Junior,,Full-Time Student,46214
4/3/22 23:25,4/3/22 23:27,IP Address,68.45.23.37,100,139,TRUE,4/3/22 23:27,R_1MM1pZJASVZvbz6,,,,,39.13969421,-86.51409912,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,I have never gone to Jagathon,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,2,2,1.9,Extremely unlikely,Extremely unlikely,22,Male,White,Graduate,,Full-Time Student,46131
4/4/22 4:07,4/4/22 4:10,IP Address,70.225.22.17,100,137,TRUE,4/4/22 4:10,R_DcMAaztTqzjYBsB,,,,,39.77639771,-86.10769653,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,I have never gone to Jagathon,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Disagree,Disagree,Somewhat agree,Somewhat disagree,4.8,4.6,4.6,Moderately unlikely,Extremely unlikely,36,Female,White,Graduate,,Full-Time Employed,46201
4/4/22 10:02,4/4/22 10:04,IP Address,47.227.98.9,100,97,TRUE,4/4/22 10:04,R_1C8gZDksFqcbmTc,,,,,39.74360657,-86.11579895,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,I have never gone to Jagathon,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4,4,4,Slightly unlikely,Slightly unlikely,25,Male,White,Graduate,,Part-Time Employed,46225
4/4/22 13:34,4/4/22 13:39,IP Address,75.112.198.169,100,302,TRUE,4/4/22 13:39,R_21omygQJVfsAvZi,,,,,39.7932,-86.2132,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,I have heard of Jagathon,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,6,7,7,Moderately likely,Slightly likely,25,Female,Asian,Graduate,,Full-Time Student,46202
4/4/22 14:13,4/4/22 14:14,IP Address,47.227.98.140,100,82,TRUE,4/4/22 14:14,R_2qlX0xspLlPbT64,,,,,39.7436,-86.1158,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,"I have heard of Jagathon,I have never gone to Jagathon",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,3,3.9,2.7,Extremely unlikely,Extremely unlikely,18,Female,White,Freshman,,Full-Time Student,46202
