StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1,Q2.1,Q2.2,Q2.3,Q2.4_1,Q2.4_2,Q2.4_3,Q2.4_4,Q2.4_5,Q2.4_6,Q2.5_1,Q2.5_2,Q2.5_3,Q2.5_4,Q2.5_5,Q2.5_6,Q2.6_1,Q2.7_1,Q2.8_1,Q2.9,Q2.10,Q3.1,Q3.2,Q3.3,Q3.4,Q3.4_9_TEXT,Q3.5,Q3.6
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Informed Consent:
For compliances purposes, we would like to confirm your willingness to participate in this survey. Please read the attached file (Informed consent) for information.

 

Please select if you are willing to participate in this survey below",Are you above 18 years old?,Are you affiliated with IUPUI?,Jag_Assoc,ID_JagCom,ID_JagOverlap,ID_JagAttach,ID_JagBelong,ID_JagValue,ID_JagImportant,ID_iupuiCom,ID_iupuiOverlap,ID_iupuiAttach,ID_iupuiBelong,ID_iupuiValue,ID_iupuiImportant,Jag_feelings_overall,Jag_feelings_pleasant,Jag_feelings_attractive,Future_part,Future_donate,Age,Gender,Race,iupuiStatus,iupuiStatus_other,Employment,Zip
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID59""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID41_2""}","{""ImportId"":""QID41_3""}","{""ImportId"":""QID41_4""}","{""ImportId"":""QID41_5""}","{""ImportId"":""QID41_6""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID49_5""}","{""ImportId"":""QID49_6""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID55_9_TEXT""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57_TEXT""}"
4/3/22 19:17,4/3/22 19:20,0,166.205.124.135,100,214,1,4/3/22 19:20,R_DpfwdxhBWCfvRPb,,,,,39.7684021,-86.15799713,anonymous,EN,1,2,2,"3,8",5,5,5,5,7,5,6,6,6,7,7,7,7,7,7,6,6,23,2,4,5,,1,46202
4/3/22 19:23,4/3/22 19:26,0,99.44.212.77,100,205,1,4/3/22 19:26,R_3CTSwloZCw1M5d2,,,,,39.78599548,-86.1588974,anonymous,EN,1,2,2,8,1,4,1,1,1,1,4,4,2,4,4,4,4,3.9,3.8,4,2,23,2,1,5,,2,46202
4/3/22 19:44,4/3/22 19:46,0,174.202.67.169,100,100,1,4/3/22 19:46,R_bIB6nlNQ2IwxTUd,,,,,39.89830017,-86.0114975,anonymous,EN,1,2,2,8,4,4,4,4,4,4,5,5,5,5,5,5,4,4.2,4.2,4,4,27,1,1,5,,2,46202
4/3/22 21:02,4/3/22 21:05,0,50.90.65.208,100,171,1,4/3/22 21:05,R_BJHs7ATz8j0GYzT,,,,,39.79319763,-86.21320343,anonymous,EN,1,2,2,8,4,2,1,1,1,1,5,6,2,2,6,6,4.2,4,3.9,3,1,32,1,4,5,,4,46222
4/3/22 21:11,4/3/22 21:13,0,75.35.201.12,100,114,1,4/3/22 21:13,R_3MuS2fRgb7mfOcG,,,,,39.84989929,-86.26490021,anonymous,EN,1,2,2,3,1,1,1,1,1,1,6,5,5,6,5,5,4.9,5.8,3.9,1,3,19,2,2,3,,2,46214
4/3/22 23:25,4/3/22 23:27,0,68.45.23.37,100,139,1,4/3/22 23:27,R_1MM1pZJASVZvbz6,,,,,39.13969421,-86.51409912,anonymous,EN,1,2,2,8,1,1,1,1,1,1,5,2,3,5,5,4,2,2,1.9,1,1,22,1,1,5,,2,46131
4/4/22 4:07,4/4/22 4:10,0,70.225.22.17,100,137,1,4/4/22 4:10,R_DcMAaztTqzjYBsB,,,,,39.77639771,-86.10769653,anonymous,EN,1,2,2,8,4,4,4,2,2,2,5,5,2,2,5,3,4.8,4.6,4.6,2,1,36,2,1,5,,4,46201
4/4/22 10:02,4/4/22 10:04,0,47.227.98.9,100,97,1,4/4/22 10:04,R_1C8gZDksFqcbmTc,,,,,39.74360657,-86.11579895,anonymous,EN,1,2,2,8,1,1,1,1,1,1,5,4,5,5,5,5,4,4,4,3,3,25,1,1,5,,3,46225
