,Finished,Involvement,Jag_Assoc,Jagathon Identity,ID_JagCom,ID_JagOverlap,ID_JagAttach,ID_JagBelong,ID_JagValue,ID_JagImportant,IUPUI Identity,ID_iupuiCom,ID_iupuiOverlap,ID_iupuiAttach,ID_iupuiBelong,ID_iupuiValue,ID_iupuiImportant,Feelings Towards Jagathon,Jag_feelings_overall,Jag_feelings_pleasant,Jag_feelings_attractive,Future Participation,Future Donation,Age,Gender,Race,Student Status,iupuiStatus_value,iupuiStatus_other,Employment,Zip
1,1,No Involvement,"3,8",5.33,5,5,5,5,7,5,6.5,6,6,6,7,7,7,7,7,7,7,6,6,23,2,4,Graduate,5,,1,46202
2,1,No Involvement,8,1.5,1,4,1,1,1,1,3.67,4,4,2,4,4,4,3.9,4,3.9,3.8,4,2,23,2,1,Graduate,5,,2,46202
3,1,No Involvement,8,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4.13,4,4.2,4.2,4,4,27,1,1,Graduate,5,,2,46202
4,1,No Involvement,8,1.67,4,2,1,1,1,1,4.5,5,6,2,2,6,6,4.03,4.2,4,3.9,3,1,32,1,4,Graduate,5,,4,46222
5,1,No Involvement,3,1,1,1,1,1,1,1,5.33,6,5,5,6,5,5,4.87,4.9,5.8,3.9,1,3,19,2,2,Undergraduate,3,,2,46214
6,1,No Involvement,8,1,1,1,1,1,1,1,4,5,2,3,5,5,4,1.97,2,2,1.9,1,1,22,1,1,Graduate,5,,2,46131
7,1,No Involvement,8,3,4,4,4,2,2,2,3.67,5,5,2,2,5,3,4.67,4.8,4.6,4.6,2,1,36,2,1,Graduate,5,,4,46201
8,1,No Involvement,8,1,1,1,1,1,1,1,4.83,5,4,5,5,5,5,4,4,4,4,3,3,25,1,1,Graduate,5,,3,46225
9,1,No Involvement,3,3.33,2,5,5,5,2,1,5.67,6,6,6,6,5,5,6.67,6,7,7,6,5,25,2,4,Graduate,5,,2,46202
10,1,No Involvement,"3,8",1,1,1,1,1,1,1,5.67,7,7,7,5,4,4,3.2,3,3.9,2.7,1,1,18,2,1,Undergraduate,1,,2,46202
11,1,Some Involvement,"1,3",1,1,1,1,1,1,1,6.17,6,5,5,7,7,7,3.83,4,3.5,4,1,1,23,2,6,Undergraduate,4,,2,46214
12,1,No Involvement,3,1.67,1,5,1,1,1,1,4,5,5,2,4,4,4,6,7,6,5,1,4,23,1,1,Graduate,5,,2,46222
13,1,No Involvement,"3,8",1.17,2,1,1,1,1,1,5.17,5,5,5,6,5,5,4.83,5,5,4.5,5,5,23,1,1,Graduate,5,,2,46060
14,1,Some Involvement,1,4.33,6,4,4,4,4,4,4.67,4,4,5,5,5,5,7,7,7,7,5,5,23,2,4,Graduate,5,,2,46217
15,1,High Involvement,"1,2,3,4",4.67,5,5,1,5,6,6,6,7,5,6,6,6,6,1,1,1,1,1,3,22,1,7,Other,9,,4,46302
16,1,No Involvement,3,2,2,2,2,2,2,2,6,7,5,6,6,6,6,5.37,6,5,5.1,3,2,23,1,1,Graduate,5,,2,46250
17,1,No Involvement,8,4,4,4,4,4,4,4,4.33,6,4,4,4,4,4,4.8,4.6,5.6,4.2,3,4,22,2,"1,2",Graduate,5,,2,46220
